도로코드,도로명,전체 유동인구,남성 유동인구,여성 유동인구,10대 유동인구,20대 유동인구,30대 유동인구,40대 유동인구, 50대 유동인구, 60대 이상 유동인구
000632,백제고분로41길,187501,90488,97013,7567,50253,48102,29103,28560,23917
000633,백제고분로42길,76705,36176,40529,4774,16924,15563,12185,14384,12876
000634,백제고분로45길,76809,35936,40874,1187,23026,20754,11602,11904,8335
000635,백제고분로46길,59923,29652,30271,4031,13502,12501,9520,10985,9384
000636,백제고분로50길,73034,37702,35332,5125,14555,17865,12987,11862,10641
000637,버드나루로7길,37387,21968,15418,728,10079,9310,6120,6237,4913
000638,범안로15길,20911,12898,8013,449,4760,4905,3990,4204,2603
000639,범안로17길,32579,20006,12573,946,6613,7515,6433,6778,4294
000640,법원단지5길,25878,12889,12989,2047,4485,4435,4733,5743,4435
000641,법원단지길,132523,66096,66427,10013,23806,23581,21949,27835,25340
000642,벚꽃로38길,9842,6053,3789,16,1861,2290,2112,2118,1445
000643,벚꽃로56길,35554,21947,13608,47,8028,9134,7393,6481,4471
000644,보광로5길,2878,1770,1108,484,558,538,561,396,342
000645,보국문로11길,36047,20593,15454,4024,13219,5307,4432,4765,4299
000646,보국문로16길,34846,17556,17289,3939,10307,5475,5509,4970,4647
000647,보국문로18길,36834,19276,17558,3759,9232,6304,6326,5834,5379
000648,보국문로30길,5700,2667,3033,188,800,1052,1273,1159,1227
000649,보국문로8길,29471,15837,13634,2357,7741,4717,5074,4849,4733
000650,보라매로2길,34093,17098,16995,1653,8541,8182,5834,5105,4778
000651,보문로13나길,86747,46346,40401,6048,20273,15703,14699,16478,13545
000652,보문로13다길,106734,56911,49824,7605,27278,19308,17223,19396,15924
000653,보문로19길,35871,18997,16874,2561,10657,6155,5646,5800,5054
000654,보문로23길,44000,22660,21340,3086,11708,8514,7641,7513,5538
000655,보문로29다길,26194,12258,13936,2807,6659,4971,4853,3908,2995
000656,보문로30가길,147451,60596,86855,18353,73499,23637,13443,10845,7674
000657,보문로34길,98301,38973,59328,12004,46531,15844,10187,7985,5750
000658,보문로34나길,106477,38173,68304,15970,53374,13782,9322,8075,5954
000659,보문로37길,44313,20779,23534,4057,12475,8044,7547,6861,5330
000660,보문로3길,22212,12354,9858,1075,5331,4271,4091,4148,3297
000661,보문로7길,3557,1802,1754,217,715,536,690,838,560
000662,복은길,143238,80959,62279,6600,46477,33475,19805,17020,19862
000663,봉우재로13길,15753,7979,7774,626,2557,2894,2968,3755,2952
000664,봉우재로14길,22484,11346,11137,1580,3945,3976,4215,4579,4188
000665,봉우재로28길,37486,18718,18768,1213,7772,8163,6207,8197,5936
000666,봉우재로33길,71360,35986,35373,934,15417,15469,13124,14916,11499
000667,봉우재로43길,22171,11909,10262,77,6040,4535,3828,4326,3365
000668,봉우재로70길,50693,23632,27061,6224,8419,7777,8501,11357,8416
000669,봉천로13길,15209,7641,7567,474,5058,4125,2119,1883,1549
000670,봉천로23길,26327,13868,12459,446,8533,5944,3477,4556,3371
000671,봉천로23나길,45610,24782,20827,897,13913,9575,6815,7462,6948
000672,봉천로30길,9016,4535,4481,298,2470,1972,1338,1462,1476
000673,봉천로31길,43177,22486,20691,2330,10180,9108,6643,7381,7535
000674,봉천로33길,38124,18336,19788,1818,10183,8765,5764,5794,5800
000675,봉천로6길,55142,28073,27069,1083,21914,13177,6951,5844,6173
000676,봉화산로30길,135758,67743,68015,5804,28972,29327,20387,26794,24474
000677,봉화산로4길,87413,44947,42466,5580,16361,13989,14346,20795,16342
000678,봉화산로56길,79858,40210,39647,7382,15345,14455,14088,16055,12532
000679,부일로15길,10942,5225,5717,686,2505,1412,2360,2150,1828
000680,부일로1길,21498,10219,11278,1482,4011,4662,4492,3774,3076
000681,북아현로11마길,2693,151,2542,243,2079,223,61,55,32
000682,북아현로12길,24537,11955,12582,2152,6938,3385,3942,4522,3598
000683,북아현로14길,36568,18031,18538,3204,9704,5381,5957,6648,5674
000684,북아현로22길,64601,27576,37025,7465,20339,8385,8657,10736,9019
000685,북악산로17길,16288,7463,8825,1864,2438,3433,3164,2879,2510
000686,북촌로5가길,36849,16319,20530,2771,9477,8405,7119,5533,3545
000687,북촌로5나길,64454,28418,36036,3918,16997,15085,11650,9763,7040
000688,북촌로6길,10873,5544,5328,629,2406,2582,2248,1672,1337
000689,불광로18길,1412,600,812,3,181,166,145,384,533
000690,불광로2길,25201,12069,13132,775,4242,4478,5033,5332,5341
000691,비봉2길,3139,1612,1528,8,304,328,680,920,899
000692,사가정로13가길,5654,2385,3269,506,867,1134,1123,1008,1016
000693,사가정로27길,28754,14357,14397,2513,5073,5742,5760,5300,4366
000694,사가정로51길,88410,44357,44053,4615,20398,16617,15034,17524,14222
000695,사가정로8길,17268,8899,8370,1923,3127,3206,3309,3090,2612
000696,사근동11길,42265,21042,21223,4592,18966,5363,4588,4518,4239
000697,사근동8가길,17458,8265,9193,3161,9135,1426,1304,1474,958
000698,사근동8길,10540,5687,4853,1734,5744,828,749,945,539
000699,사근동길,50743,26503,24240,7376,25962,5478,4161,4453,3313
000700,사당로14가길,20137,9838,10298,1276,4818,4161,3169,3199,3514
000701,사당로16길,159281,77899,81382,9146,37739,34421,24908,26236,26831
000702,사당로17길,67496,32617,34879,4294,15912,13930,10437,10849,12074
000703,사당로23나길,11768,5753,6015,377,1120,3851,2355,1954,2111
000704,사임당로12길,20025,8893,11133,1381,6739,4156,3403,1997,2351
000705,사임당로1길,29746,17782,11964,568,7137,7910,5934,4822,3375
000706,사직로12길,13273,6747,6526,744,3275,3149,2756,2052,1297
000707,사직로1길,25631,12449,13182,1427,4762,4777,5702,4867,4096
000708,사직로8길,22842,11443,11399,929,4910,5878,5031,3502,2593
000709,사평대로22길,41602,18534,23068,2504,7470,8980,10527,6420,5701
000710,사평대로28길,26568,12435,14133,1755,5130,6196,5825,4251,3412
000711,사평대로2길,36062,18845,17217,2953,7634,7581,8048,5326,4519
000712,사평대로57길,95092,49519,45572,4905,35094,25756,14249,8810,6277
000713,살곶이8길,10868,6099,4770,1338,6491,1495,761,568,215
000714,삼각산로22길,10870,5138,5733,214,2080,2126,2193,2205,2052
000715,삼선교로10길,137203,67566,69637,15533,44799,21782,21247,18509,15333
000716,삼선교로14길,317530,152024,165506,51530,122427,41192,41617,33370,27393
000717,삼선교로23길,130424,62074,68350,10342,38348,24375,21768,20095,15496
000718,삼선교로2길,50353,22346,28006,1603,14235,9629,8805,8865,7215
000719,삼선교로4길,81446,38977,42469,11518,33502,10092,9896,9322,7117
000720,삼성로100길,41149,23212,17937,1348,10054,12119,8923,5049,3656
000721,삼성로146길,1228,525,702,18,432,310,184,149,135
000722,삼성로64길,40504,21552,18952,9236,6059,5655,8957,6297,4301
000723,삼양로112길,15577,7289,8288,1307,2747,2783,3034,3085,2620
000724,삼양로124길,16433,8902,7531,359,3996,3740,2479,3381,2478
000725,삼양로139길,23282,9104,14179,1705,8220,2759,3621,4186,2791
000726,삼양로144길,16351,3699,12652,3156,7929,1038,1530,1569,1131
000727,삼양로159길,32793,16689,16105,1248,5665,3737,6567,7482,8093
000728,삼양로163길,6705,3261,3444,55,584,687,1500,1598,2280
000729,삼양로173길,6956,4094,2862,132,469,664,1320,2424,1948
000730,삼양로181길,228,115,113,4,28,30,33,66,66
000731,삼양로19길,24658,11118,13540,3027,2945,5109,5931,3650,3997
000732,삼양로20길,49811,25639,24172,4732,8611,9742,9898,8910,7918
000733,삼양로24길,42467,21475,20992,4435,7317,7094,7684,7799,8138
000734,삼양로27길,33721,16905,16815,3123,5706,5474,6439,6403,6576
000735,삼양로29길,6312,3015,3297,583,871,1092,1331,1254,1180
000736,삼양로32가길,2115,738,1377,272,197,257,385,589,415
000737,삼양로32나길,3744,1450,2293,325,494,572,633,1060,661
000738,삼양로37길,1477,531,946,195,118,162,279,412,310
000739,삼양로38길,10663,4495,6168,562,1615,1935,1624,3051,1876
000740,삼양로41길,23062,11085,11977,1280,3976,4076,4138,4709,4883
000741,삼양로43길,7635,3948,3688,356,1316,1480,1253,1580,1651
000742,삼양로58길,19976,10242,9734,970,4122,3888,3614,3923,3458
000743,삼양로68길,37223,19003,18219,1958,7599,6963,6645,7193,6865
000744,삼양로73가길,11376,5608,5768,418,2509,1899,1784,2355,2412
000745,삼양로73길,12741,6607,6134,561,2748,1993,2124,2729,2587
000746,삼양로74길,31435,16154,15281,1811,6543,5472,5371,6088,6149
000747,삼양로77가길,12423,5493,6931,327,2873,1819,1410,2660,3333
000748,삼양로77길,17695,8493,9203,668,3952,2560,2498,3889,4128
000749,삼양로79길,17177,8342,8835,976,3994,2290,2731,3655,3531
000750,삼양로8길,20238,9302,10936,2296,3400,3791,4020,3606,3126
000751,삼양로91길,14494,7130,7365,343,2823,2814,3176,2635,2704
000752,삼양로93길,28219,13281,14938,1025,5896,5202,5309,5414,5374
000753,삼양로99길,5627,2682,2945,107,1110,1075,1111,1133,1093
000754,삼일대로32가길,30879,17630,13249,981,9139,6433,5284,4854,4189
000755,삼일대로32길,47026,26825,20201,1621,12811,10168,8426,7522,6478
000756,삼일대로4길,13643,7464,6179,222,3186,3394,3168,2247,1425
000757,삼청로2길,7184,2926,4259,587,2107,1595,1284,1035,575
000758,삼청로5길,25617,11363,14254,1539,7024,6075,4637,3743,2599
000759,상계로12길,74829,35857,38972,5715,14402,10465,12379,16575,15293
000760,상계로35길,13006,6858,6148,838,1904,1453,2774,2842,3195
000761,상계로37길,12371,6733,5638,620,1475,1397,2341,3047,3491
000762,상계로9가길,175130,86078,89052,12976,31947,24780,29901,39962,35564
000763,상도로15길,141995,71285,70709,5711,35702,29312,22093,25127,24050
000764,상봉로11길,25939,13203,12735,376,4551,4385,4746,6774,5106
000765,상원10길,12800,6984,5816,403,3206,3196,2231,2234,1530
000766,상원길,91895,51976,39918,2329,23144,24994,18056,13951,9420
000767,상일로5길,13850,8545,5305,1764,1906,1917,3248,3682,1333
000768,새말로16길,75902,38786,37116,3029,21261,18733,12799,10731,9348
000770,새창로33길,27262,15891,11371,572,5480,6229,5485,5097,4398
000771,새창로4길,64478,34326,30152,1685,18440,17704,12433,8629,5588
000772,새창로6길,66378,33977,32401,1585,18155,18412,13096,9088,6042
000773,서강대길,37877,24206,13671,7567,21735,2773,2515,2024,1263
000774,서강로11길,17190,8703,8488,1283,6903,4147,2360,1542,955
000775,서강로20길,110094,55168,54925,9553,50446,18182,11862,11932,8119
000776,서경로3길,1471,699,772,156,265,266,285,249,250
000777,서달로14길,61575,29261,32314,3583,16723,9197,9346,10730,11997
000778,서달로15길,107320,56845,50474,17996,55420,9625,8805,8452,7023
000779,서래로5길,64502,32138,32365,3709,11512,14435,14877,10165,9804
000780,서림3길,115327,67439,47888,5907,55723,23986,10974,8915,9822
000781,서빙고로75길,6818,3736,3082,570,1244,1488,1611,1123,782
000782,서빙고로91나길,12274,7090,5185,1048,2697,2314,2593,2076,1546
000783,서순라길,17115,9357,7758,665,4992,4072,3143,2543,1701
000784,서오릉로13길,75502,35909,39593,7616,14247,14125,14303,12940,12272
000785,서오릉로18길,66260,32602,33659,5258,11669,10854,13224,13720,11535
000786,서오릉로21길,325310,150846,174464,30782,57538,58772,59014,62942,56262
000787,서오릉로2길,14767,7342,7425,1488,2641,2816,2803,2831,2187
000788,서오릉로7길,8797,3877,4920,177,1541,2473,1686,1687,1233
000789,서오릉로8길,20710,9249,11460,510,3332,5860,3669,4307,3032
000790,서운로11길,34583,18374,16209,1763,6938,8499,6925,5824,4634
000791,서울숲2길,70633,34959,35674,3354,21927,17020,11668,9503,7161
000792,서울시립대로27길,24561,12173,12388,1172,7116,3577,3157,4722,4816
000793,서울시립대로29길,40093,23268,16825,4349,20682,4931,3374,4121,2637
000794,서울시립대로2길,66656,33866,32790,2623,14729,15488,11877,10393,11547
000795,서울시립대로5길,2786,1782,1004,36,296,717,347,371,1019
000796,서초대로19길,143180,73717,69464,9957,30949,32548,26839,21870,21018
000797,서초대로1길,125706,62441,63265,8010,34301,23916,19250,21013,19217
000798,서초대로23길,121634,61750,59884,6786,25310,28345,23337,19278,18578
000799,서초대로25길,69756,35075,34681,3455,13946,15721,13629,11727,11278
000800,서초대로26길,33477,16360,17116,1141,8258,7890,6205,5095,4887
000801,서초대로33길,103202,51399,51804,3013,19637,23898,20828,18901,16925
000802,서초대로34길,20728,10807,9921,298,4526,5251,4171,3410,3073
000803,서초대로38길,34579,18434,16144,1185,7130,9297,7012,5792,4163
000804,서초대로4길,41741,18894,22847,2839,8480,8279,7900,7568,6674
000805,서초대로54길,30490,15925,14565,2571,8083,6016,5430,4020,4370
000806,서초대로65길,2318,1155,1163,251,166,497,667,353,383
000807,서초대로8길,91813,40235,51578,7444,18240,16708,17450,16251,15720
000808,서초중앙로31길,24720,11751,12970,2741,3257,4801,5859,4284,3778
000809,서초중앙로33길,59874,29403,30471,6297,8208,12033,14561,10153,8622
000810,서해안로24길,1928,787,1141,96,284,483,409,294,362
000811,석계로13길,12613,7100,5513,1000,4513,1704,1773,1413,2211
000812,석계로18길,20510,11904,8606,2448,6839,2820,2593,3067,2742
000813,석계로7길,34168,18662,15506,2617,8606,6257,5754,5365,5568
000814,석촌호수로18길,123439,62436,61003,4488,29685,34155,19952,19054,16105
000815,선릉로130길,79042,40158,38884,4334,19788,21468,14856,10109,8488
000816,선릉로6길,10006,5487,4519,1148,1854,1176,1747,2232,1850
000817,선유로33길,15704,8614,7090,211,3104,4412,3444,2541,1991
000818,선유로40길,1537,854,683,10,584,379,185,234,144
000819,선유로43가길,8293,4858,3436,594,1283,2204,1849,1427,937
000820,선유로9나길,9162,5062,4100,450,1616,2387,1970,1449,1290
000821,선유서로24길,17538,10063,7475,547,3392,4231,3530,3353,2486
000822,선유서로25길,16421,9982,6440,104,3463,5472,3479,2437,1466
000823,선유서로28길,22197,12932,9264,602,4373,5533,4522,4231,2935
000824,성균관로9길,7842,4049,3794,1559,4303,653,746,388,193
000825,성대로1길,18795,9554,9241,707,5115,4417,3102,2849,2604
000826,성덕정11길,46279,24626,21653,986,8822,14569,9943,7713,4245
000827,성덕정15길,29586,16222,13364,691,6224,8432,5619,5553,3066
000828,성덕정19길,47912,26330,21583,1523,10283,10488,8528,10590,6500
000829,성덕정3길,7700,4437,3263,625,1568,1681,1366,1549,911
000830,성덕정7길,3233,1912,1321,118,672,497,657,794,496
000831,성덕정길,102144,56801,45343,3214,20738,20888,17743,24172,15389
000832,성미산로1길,50983,25534,25449,2727,13499,13179,9355,7581,4642
000833,성미산로29길,27671,11507,16165,240,9572,7425,4087,3379,2968
000834,성북로14가길,2933,1499,1434,401,679,626,520,368,339
000835,성북로15길,5108,2165,2943,281,832,1217,1169,906,702
000836,성북로18길,3770,1561,2208,173,580,935,899,672,511
000837,성북로23길,17667,8533,9134,228,2807,3484,4305,3800,3044
000838,성북로31길,3361,1527,1834,9,483,698,846,783,542
000839,성북로8길,27668,12513,15155,2102,7516,5692,4705,3967,3686
000840,성수이로7가길,34073,20436,13637,866,8282,9797,6691,5520,2917
000841,성수일로1길,6801,3732,3069,421,1663,1649,1253,1126,688
000842,성수일로4길,23084,13142,9942,877,6555,6160,3979,3496,2016
000843,성안로3길,210090,107194,102896,9193,36910,45037,43518,41483,33950
000844,성암로3길,14103,7268,6834,1389,3125,2661,2234,2526,2168
000845,성지3길,50757,26888,23868,2003,19692,13854,6903,5459,2847
000846,성지길,75755,36922,38833,2688,26521,20282,11093,8573,6598
000847,세검정로1길,25780,11868,13912,2270,4367,4777,4846,5121,4399
000848,세검정로3길,116480,56530,59950,10222,21309,16167,22712,23033,23038
000849,세검정로6나길,8295,3483,4812,1124,1388,1355,1398,1615,1415
000850,세검정로9길,26050,12772,13279,2709,4480,3935,5183,5448,4296
000851,세무서2길,13739,6593,7147,114,2859,3204,2462,2533,2567
000852,세무서2나길,1072,491,581,5,226,257,178,194,211
000853,세무서7길,13328,6370,6958,1070,2288,2267,2503,2592,2608
000854,세무서길,93859,45130,48729,6116,17565,15384,17790,18388,18616
000855,세종대로2가길,86495,46266,40229,529,19110,27412,19920,12434,7091
000856,소공로3길,23493,11848,11645,1429,4700,5221,4975,3597,3571
000857,소공로6길,7412,3182,4230,931,1935,1593,1272,942,738
000858,소월로20길,43997,21797,22200,2394,12446,11568,6424,5376,5789
000859,소월로2길,18694,10277,8417,134,4259,5838,4542,2573,1348
000860,소월로38가길,3401,1532,1869,2,1134,1140,558,306,261
000861,솔매로17길,14490,7273,7216,546,3316,3193,2812,2496,2127
000862,솔매로22길,45384,22574,22810,4422,9486,8413,7976,8398,6689
000863,솔매로28길,12387,6340,6047,806,2284,2376,2140,2447,2333
000864,솔매로31길,18116,9395,8721,1010,3493,3582,3253,3489,3290
000865,솔매로36길,30439,16746,13694,1491,6751,5648,6173,5841,4534
000866,솔매로43길,69455,35188,34268,3808,15114,11039,12356,14485,12652
000867,솔매로44길,108661,50844,57816,5821,24079,21175,20269,20206,17110
000868,솔매로46길,110172,51906,58266,6653,24424,20323,20508,20849,17417
000869,솔매로50길,162587,67212,95375,11637,35966,33933,29518,29392,22142
000870,솔샘로15가길,436,236,201,13,246,74,33,41,30
000871,솔샘로18길,39236,21146,18091,4022,11048,6471,6327,5773,5596
000872,솔샘로1길,2093,1370,723,169,1106,144,152,215,308
000873,솔샘로24길,14834,7721,7114,1549,3831,2497,2552,2271,2134
000874,솔샘로25길,6860,3365,3495,663,1515,1317,1431,945,988
000875,솔샘로47길,72415,36877,35538,6454,12880,11263,13325,13900,14593
000876,솔샘로48길,79290,41094,38196,7489,14288,12374,14560,14882,15696
000877,솔샘로4길,23334,13437,9898,2614,8528,3311,2869,3009,3004
000878,솔샘로64길,39112,19496,19616,4306,5885,6071,7427,8023,7400
000879,솔샘로64나길,59807,29640,30167,6124,9756,10544,11536,11403,10444
000880,솔샘로65길,150376,67420,82956,9035,28413,28355,28779,29380,26414
000881,솔샘로67길,88239,41137,47102,4682,17550,16617,17694,18121,13575
000882,솔샘로68길,37087,18066,19021,2892,6616,6668,6713,7628,6570
000883,솔샘로6길,60839,34179,26660,6467,19981,9060,8861,7985,8484
000884,송월길,148568,70401,78167,10152,28383,31732,27469,25908,24926
000885,송파대로38길,32999,14894,18105,5214,6911,6280,5113,5497,3984
000886,수락산로4길,66156,33861,32294,5613,12357,10519,11548,12775,13343
000887,수색로14길,3290,2150,1140,13,644,427,763,876,567
000888,수색로18길,20725,13385,7340,105,4292,3110,4592,5316,3312
000889,수색로2길,64720,30592,34128,4219,12274,12553,11153,13124,11397
000890,수색로4길,37685,17884,19801,4036,6752,7328,6547,5847,7175
000891,수색로8길,30545,14754,15791,1637,5893,6367,5766,5788,5094
000892,수유로12길,99843,50188,49655,4047,24232,16425,16486,19953,18700
000893,수유로23길,115283,58486,56797,4220,36434,20555,19440,18417,16218
000894,수유로4길,104338,52323,52015,4589,28388,16687,17123,20545,17008
000895,숭문16길,32504,14363,18141,2001,12800,5778,4442,4156,3327
000896,숭문길,101445,48209,53236,8188,39236,15467,14968,13637,9949
000897,숭인동길,41846,22298,19547,2295,9294,7234,7651,8648,6724
000898,숭인로7나길,44741,22608,22133,5240,6674,7517,9181,8243,7886
000899,승방길,40176,20079,20098,1431,11392,8877,5960,6088,6428
000900,시흥대로102길,88918,50933,37985,4388,16159,17553,16634,19106,15077
000901,시흥대로120길,34691,18864,15827,916,8357,7110,6391,6728,5188
000902,시흥대로122길,29692,15436,14255,810,7679,6995,5421,5233,3554
000903,시흥대로128길,26224,13524,12699,717,6651,6337,4805,4651,3063
000904,시흥대로130길,38576,20127,18448,888,8643,8881,7167,7428,5568
000905,시흥대로136길,50680,27562,23117,706,9912,10653,9577,11389,8443
000906,시흥대로138길,34268,18749,15519,142,7626,7195,6566,7334,5404
000907,시흥대로141길,29980,17495,12485,99,8325,7424,5452,4859,3820
000908,시흥대로146길,28668,15690,12978,98,5757,6252,5734,6310,4518
000909,시흥대로149길,12870,7219,5651,66,3759,2987,2079,2266,1712
000910,시흥대로150길,41870,23017,18853,314,6225,9642,9220,9779,6688
000911,시흥대로151길,36280,20751,15529,282,10969,8528,6253,6019,4230
000912,시흥대로152길,17409,10465,6944,89,3727,4411,3499,3332,2352
000913,시흥대로153길,82427,48046,34381,733,24111,20592,13427,13859,9705
000914,시흥대로160길,34624,18673,15951,867,10231,9058,5589,5252,3627
000915,시흥대로175길,8438,4068,4370,3,1422,2086,1842,2014,1071
000916,시흥대로28길,39645,21247,18398,3514,4775,8392,7197,9264,6503
000917,시흥대로30길,8138,4381,3758,1073,949,1861,1498,1807,951
000918,시흥대로40마길,55106,28152,26955,5572,9654,10496,9580,10719,9085
000919,시흥대로47길,25889,13638,12251,2581,4949,5134,4652,5085,3488
000920,시흥대로50길,17257,9212,8045,1349,4157,3058,2807,3300,2586
000921,시흥대로62가길,62430,32551,29878,2758,12603,11191,10453,13787,11638
000922,시흥대로62길,74337,39247,35090,4044,15701,13491,12842,16016,12244
000923,시흥대로68길,97906,51490,46416,5175,20112,17817,17063,21315,16424
000924,시흥대로71길,35415,18815,16600,1920,7662,6427,6162,7652,5592
000925,시흥대로72길,42699,21739,20961,1522,6758,8081,7913,9823,8602
000926,시흥대로84라길,4454,2483,1971,95,950,1093,693,905,717
000927,시흥대로88가길,10957,6006,4952,322,2419,2573,1682,2242,1720
000928,시흥대로88길,29175,15240,13935,337,4702,6487,5534,6493,5621
000929,시흥대로94길,116635,65515,51120,4930,22233,23739,20847,25537,19350
000930,시흥대로96길,9576,5347,4229,200,2095,2186,1603,2112,1380
000931,시흥대로98길,14895,8416,6479,338,3065,3211,2708,3429,2145
000932,신길로16길,8302,4339,3963,318,1387,1760,1461,1900,1476
000933,신길로17길,31964,14631,17332,458,3612,4205,5766,9868,8054
000934,신길로23나길,13524,7599,5925,1199,2099,2606,2927,2918,1774
000935,신길로28길,7116,3840,3276,237,879,1721,1370,1789,1121
000936,신길로34가길,19573,10812,8761,519,2867,3479,4283,5473,2951
000937,신길로34길,15503,8009,7494,667,3051,2459,2778,3794,2754
000938,신길로38길,44314,22385,21930,2568,9379,6992,7714,9455,8206
000939,신길로39길,75003,38676,36328,4080,13720,13895,13744,16490,13075
000940,신길로40길,26081,13303,12778,1163,5490,4278,4640,5781,4728
000941,신길로41길,141784,73478,68306,6711,25587,26292,26278,32663,24254
000942,신길로42가길,264590,131469,133121,15812,41864,47834,48840,56355,53885
000943,신길로42길,31865,16520,15345,1043,6861,5712,5623,7202,5425
000944,신길로45길,16873,8394,8479,203,3197,3207,2839,4215,3211
000945,신길로52길,24337,13089,11248,822,3396,5282,5159,5030,4647
000946,신길로60가길,1809,971,839,0,203,425,547,257,377
000947,신길로60나길,5377,2678,2699,924,1162,1019,649,890,732
000948,신길로60마길,26286,13287,12999,3234,4803,4896,4395,4566,4392
000949,신길로8길,4769,1937,2832,138,952,843,887,1151,797
000950,신길로9길,2968,1078,1890,20,612,473,519,786,559
000951,신내로17길,716,302,414,11,101,196,176,146,87
000952,신대방1가길,15771,8330,7441,219,4086,4019,3019,2080,2348
000953,신도림로11길,11137,6421,4716,526,2061,2291,2877,1702,1680
000954,신림동1길,35604,19703,15901,1215,13434,7694,4935,4267,4059
000955,신림동5가길,69821,37677,32144,2679,34724,15510,6740,5858,4310
000956,신림동길,169690,91958,77732,6474,79794,37418,17937,15825,12242
000957,신림로11길,91567,54702,36865,3200,37402,18335,12743,9204,10682
000958,신림로14길,18473,10965,7508,834,10089,3837,1549,1041,1122
000959,신림로17길,113452,72092,41360,5763,54880,24292,11719,9478,7321
000960,신림로23길,115789,72341,43449,5851,51417,27511,13625,9831,7555
000961,신림로28길,16787,10095,6693,138,8142,4314,1838,1284,1072
000962,신림로30길,20048,12074,7974,429,9985,4457,2187,1647,1343
000963,신림로32길,74766,41966,32801,3842,23928,16980,10039,9259,10719
000964,신림로38길,64358,37154,27204,2967,20482,14236,9446,8164,9063
000965,신림로3가길,38985,23352,15633,3682,17218,7208,4072,3947,2858
000966,신림로48가길,8608,4573,4034,391,2708,1852,1272,1236,1149
000967,신림로48길,24643,12068,12575,1246,6818,4986,3474,4174,3944
000968,신림로58길,37313,19301,18012,874,15222,7738,4275,4830,4374
000969,신림로64길,78329,40084,38245,3918,33670,15863,8741,8428,7709
000970,신림로65길,109414,58402,51011,4809,55574,23470,10269,9641,5650
000971,신림로70길,93946,48784,45162,3761,36685,19489,11926,11504,10582
000972,신림로73길,132675,68292,64383,2512,49684,33169,17712,14114,15484
000973,신목로2길,36630,18684,17947,4655,6959,5737,7179,7289,4812
000974,신목로4길,74649,37255,37394,11858,12578,10890,14901,14781,9641
000975,신목로5길,60175,25574,34601,5876,9146,11962,14548,12274,6367
000976,신반포로15길,24926,10115,14811,3862,3101,3853,6029,4022,4058
000977,신반포로3길,6647,3011,3636,856,987,1102,1641,994,1066
000978,신반포로45길,76172,40896,35276,2111,19310,22857,15366,9494,7032
000979,신원로3길,168889,86848,82040,5867,57046,35565,23064,25073,22275
000980,신원로4길,25373,12459,12914,831,8422,7771,2126,2263,3960
000981,신월로12길,8261,4679,3581,424,1145,1444,1755,2042,1451
000982,신월로15길,18799,10145,8654,924,2642,3400,3722,4153,3958
000983,신월로16길,12656,6835,5820,573,1784,2197,2530,2990,2582
000984,신이문로24길,7526,3878,3647,124,1530,1734,1322,1495,1320
000985,신이문로9길,4022,2207,1816,195,1372,560,623,743,530
000986,신정중앙로23길,91613,45206,46407,5942,20107,18807,16900,17231,12626
000987,신촌로12길,56156,26968,29188,4733,23841,10365,6570,5681,4966
000988,신촌로1길,118619,55494,63125,6793,51764,24850,12687,12555,9970
000989,신촌로24길,86517,36929,49588,6156,44992,14284,8953,7014,5120
000990,신촌로28가길,21876,9545,12331,1121,4126,4751,3429,4461,3988
000991,신촌로30길,176668,79915,96753,11353,42636,36511,28599,30481,27089
000992,신촌로31길,7922,3696,4227,493,1435,1446,1164,1647,1737
000993,신촌로37안길,831390,420966,410425,27245,207749,220721,164162,124917,86596
000994,신촌로3길,44702,20909,23793,2282,20137,9546,4757,4553,3427
000995,신촌로4길,73360,34386,38974,4755,32045,15961,8425,7290,4885
000996,신촌로9길,54585,26185,28400,4462,32308,7818,3975,3243,2780
000997,신풍로17길,9859,5337,4522,51,1617,2128,2135,2386,1542
000998,신풍로19가길,9287,4992,4295,34,1722,1927,1912,2258,1434
000999,신풍로8길,20614,10914,9699,593,3656,4401,3783,4781,3401
001000,신흥로20길,17171,8485,8686,541,5024,4394,2693,2182,2336
001001,신흥로36길,8678,4683,3994,676,2028,1913,1662,1305,1093
001002,신흥안길,43,31,12,0,5,4,8,15,11
001003,쑥고개로11길,69564,33274,36290,3899,15712,11943,11205,12754,14050
001004,아리랑로19길,11429,5680,5750,415,1817,1905,2051,2319,2922
001005,아리랑로5길,28333,12529,15804,2652,6993,5302,5258,4216,3911
001006,아차산로51길,32466,14634,17832,529,10541,8154,5901,4596,2744
001007,아차산로70길,11141,5017,6124,1417,1781,1825,2637,2003,1478
001008,아차산로76길,12822,6541,6281,724,2931,2617,2356,2208,1986
001009,아차산로7가길,14612,8334,6278,375,3048,3983,2401,2861,1944
001010,아차산로7길,43268,25045,18223,835,10041,12094,6980,8056,5262
001011,안암로5길,25882,14509,11372,1649,6428,4422,4431,5156,3797
001012,안암로6길,53916,34954,18962,6574,25422,8209,4937,5469,3304
001013,안암로9가길,67621,43885,23736,9305,37472,8806,4817,4500,2721
001014,안암로9나길,32354,18526,13828,2701,8889,5533,5103,5810,4318
001015,압구정로29길,1523,705,817,45,134,387,444,242,271
001016,압구정로4길,44504,19090,25414,2416,17100,12774,6598,3079,2537
001017,약령서1길,1244,686,558,47,201,149,151,288,407
001018,약령서길,10791,5762,5029,561,2728,1467,1513,2237,2284
001019,약령시로15길,15766,8841,6925,226,1770,2016,2209,3850,5695
