도로코드,도로명,전체 유동인구,남성 유동인구,여성 유동인구,10대 유동인구,20대 유동인구,30대 유동인구,40대 유동인구, 50대 유동인구, 60대 이상 유동인구
000358,도신로15길,22276,11594,10683,896,5404,4841,3792,3917,3427
000359,도신로19길,35038,18434,16604,1734,7902,7027,6236,6502,5638
000360,도신로29길,81338,40257,41080,6798,12479,15404,15251,17366,14040
000361,도신로35길,18529,8974,9555,223,3329,3475,3769,4004,3730
000362,도신로49길,21042,10753,10289,8,3038,4200,5109,4224,4463
000363,도신로53길,57385,30382,27003,3595,9060,10321,11374,12292,10743
000364,도신로54길,98766,51244,47522,6904,15381,17972,18664,20662,19183
000365,도영로7길,37003,19241,17763,602,9327,9877,6211,5863,5124
000366,도화2길,37964,19001,18963,1833,8601,9392,6748,6750,4640
000367,도화4길,42155,23426,18729,1830,11960,11250,7382,5576,4158
000368,도화길,84996,47850,37146,3782,25053,22572,14871,11150,7568
000369,독립문로14길,4363,2134,2229,257,982,765,866,775,718
000370,독립문로3길,46972,24055,22917,4763,7681,7622,8136,9507,9262
000371,독립문로8길,58938,29232,29706,2886,15979,10705,10561,9969,8838
000372,독막로19길,43129,20769,22360,5834,25164,5807,3161,1900,1263
000373,독막로22길,30765,15932,14833,2248,8167,6193,6427,3856,3875
000374,독막로32길,7615,3747,3868,519,2250,1617,1377,938,914
000375,독막로8길,37376,19055,18321,1972,17074,9748,4009,2994,1579
000376,독산로107길,20943,10968,9976,296,3468,4990,3640,4975,3573
000377,독산로108길,47548,24491,23057,1002,9231,9605,8933,11134,7643
000378,독산로10길,26523,13957,12565,843,4747,4716,5476,5261,5480
000379,독산로14길,30107,15556,14551,1408,5470,5126,5143,6487,6473
000380,독산로21길,51196,26340,24856,2613,10197,9183,8956,10753,9493
000381,독산로22길,57772,29322,28451,2401,10707,10056,9966,13227,11415
000382,독산로23길,42956,22222,20733,2222,8792,7779,7496,9098,7569
000383,독산로24길,12996,6386,6610,67,2325,2341,1979,3325,2959
000384,독산로28길,7840,3914,3927,11,1215,1347,1126,2069,2073
000385,독산로32길,7387,3683,3704,7,1074,1248,1035,2035,1989
000386,독산로35길,29190,14868,14322,994,5001,5233,5039,6896,6026
000387,독산로36길,31941,16081,15860,1682,5602,5845,5382,7123,6306
000388,독산로38길,16361,8435,7927,791,2762,3075,2778,3790,3165
000389,독산로39길,26975,13820,13155,996,4699,4854,4454,6359,5613
000390,독산로40길,46963,23986,22977,2089,8527,9283,7723,10428,8913
000391,독산로44길,26904,13801,13103,986,4770,5376,4491,5985,5297
000392,독산로47길,3210,1679,1531,152,652,689,505,700,510
000393,독산로64길,22537,11978,10559,764,4255,4413,3683,5160,4262
000394,독산로69길,24121,12691,11430,657,4365,4559,4489,5585,4467
000395,독산로70길,33116,17023,16093,948,5324,6138,5561,8264,6882
000396,독산로74길,12550,6650,5899,350,2283,2325,2279,3036,2278
000397,독산로80길,84376,43382,40994,3341,13817,15750,15182,20590,15696
000398,독산로84길,41108,21222,19885,1539,6597,8088,7253,9560,8070
000399,독산로85길,14661,7835,6826,347,2587,2987,2799,3399,2542
000400,독산로87길,22412,12132,10280,324,3503,4769,4731,5305,3780
